aX,aY,aZ,gX,gY,gZ
-0.618,-0.255,1.170,-63.721,-253.113,-63.660
-0.659,-0.113,1.212,-40.710,-255.554,-52.063
-0.763,0.029,1.372,-38.452,-262.695,-47.424
-0.795,0.137,1.785,-28.931,-276.184,-50.903
-0.861,0.231,2.520,-7.812,-298.462,-56.641
-0.917,0.105,3.323,-10.925,-305.603,-73.425
-0.880,-0.316,3.810,-36.926,-263.977,-96.680
-0.843,-0.670,3.641,-54.993,-175.903,-102.356
-0.750,-0.835,2.995,-46.814,-81.238,-84.656
-0.787,-0.683,2.271,-19.348,-26.245,-58.838
-0.831,-0.780,1.923,-12.024,-21.301,-51.697
-0.865,-1.057,2.066,-4.028,-48.401,-49.438
-0.837,-1.109,2.492,-12.329,-74.890,-26.794
-0.824,-1.004,2.861,-22.644,-77.087,1.892
-0.818,-0.852,3.034,-29.846,-54.504,20.142
-0.806,-0.705,2.914,-33.325,-17.822,26.855
-0.808,-0.692,2.838,-35.522,13.855,22.217
-0.812,-0.749,2.779,-16.602,43.945,14.526
-0.845,-0.787,2.681,14.954,72.876,16.541
-0.854,-0.794,2.543,23.865,101.929,23.376
-0.868,-0.784,2.337,20.508,131.165,34.607
-0.858,-0.754,2.067,21.912,158.081,47.302
-0.822,-0.662,1.742,41.931,179.749,60.608
-0.780,-0.476,1.445,86.121,189.331,78.857
-0.726,-0.225,1.260,117.676,187.195,96.924
-0.670,-0.019,1.162,124.390,182.373,106.873
-0.592,0.101,1.079,115.479,180.908,106.018
-0.547,0.194,0.987,94.788,184.448,101.746
-0.496,0.279,0.890,61.523,191.040,98.389
-0.444,0.338,0.823,30.212,195.496,91.797
-0.408,0.353,0.787,14.404,197.266,79.956
-0.377,0.313,0.753,4.089,200.439,65.674
-0.361,0.268,0.676,-6.592,207.825,54.443
-0.345,0.208,0.514,-23.376,218.689,44.617
-0.310,0.117,0.287,-26.306,228.577,33.813
-0.275,0.049,0.015,-2.136,232.178,27.405
-0.248,0.033,-0.259,53.406,225.037,27.283
-0.235,0.069,-0.578,105.774,210.449,33.020
-0.153,0.139,-0.854,122.498,186.951,37.964
-0.061,0.210,-0.984,111.938,148.987,41.382
0.008,0.269,-0.935,86.792,101.135,42.664
0.063,0.318,-0.775,65.796,56.702,39.124
0.073,0.349,-0.620,39.185,27.100,30.640
0.106,0.347,-0.562,16.113,12.756,17.883
0.098,0.299,-0.579,18.799,3.479,3.662
0.073,0.264,-0.569,22.888,-8.118,-6.470
0.057,0.301,-0.510,10.010,-23.560,-8.850
0.064,0.376,-0.422,-21.973,-38.208,-8.545
0.072,0.382,-0.323,-65.308,-50.903,-15.137
0.055,0.297,-0.288,-88.623,-59.692,-28.503
0.017,0.169,-0.352,-92.468,-64.026,-41.382
-0.063,0.034,-0.462,-78.735,-71.777,-48.706
-0.091,-0.055,-0.484,-56.580,-90.454,-48.706
-0.105,-0.024,-0.320,-33.142,-120.911,-38.452
-0.110,0.079,-0.002,-14.404,-153.381,-26.978
-0.114,0.134,0.309,-10.742,-172.485,-27.222
-0.126,0.087,0.477,-17.090,-171.082,-38.513
-0.177,-0.000,0.480,-32.654,-158.630,-48.157
-0.219,-0.058,0.462,-58.411,-150.757,-50.049
-0.206,-0.087,0.590,-81.909,-157.532,-48.645
-0.227,-0.163,0.841,-79.163,-173.462,-54.260
-0.266,-0.330,1.073,-58.777,-181.946,-65.796

-0.493,-0.394,2.227,-5.676,-191.284,-39.124
-0.538,-0.552,2.586,-14.465,-183.350,-45.410
-0.531,-0.688,2.754,-30.334,-158.081,-42.603
-0.462,-0.700,2.841,-28.503,-124.756,-29.724
-0.480,-0.516,2.661,-17.822,-87.830,-14.465
-0.500,-0.665,2.567,-33.508,-66.772,-19.897
-0.534,-0.942,2.674,-42.908,-67.261,-27.283
-0.528,-0.987,2.909,-60.425,-73.242,-14.465
-0.500,-0.882,3.180,-79.590,-67.627,3.967
-0.493,-0.825,3.349,-68.970,-44.495,10.681
-0.532,-0.914,3.345,-28.503,-8.972,1.343
-0.562,-1.015,3.082,23.010,35.706,-4.333
-0.595,-1.018,2.713,72.266,73.853,3.052
-0.587,-0.966,2.439,94.727,93.994,15.808
-0.574,-0.877,2.215,107.178,105.103,30.579
-0.559,-0.761,2.000,100.464,116.089,48.157
-0.529,-0.612,1.821,74.585,127.075,65.918
-0.506,-0.426,1.680,58.716,132.812,80.078
-0.472,-0.237,1.537,46.143,137.085,87.524
-0.430,-0.090,1.383,33.020,142.273,88.257
-0.384,-0.002,1.231,24.963,146.606,83.191
-0.350,0.009,1.085,30.212,148.437,73.486
-0.357,-0.021,0.937,37.415,149.597,61.523
-0.343,-0.042,0.752,47.729,150.208,53.467
-0.307,-0.026,0.593,54.688,147.217,52.795
-0.285,-0.020,0.447,55.481,140.198,52.185
-0.260,-0.019,0.313,44.067,132.324,53.406
-0.210,0.007,0.193,37.598,123.718,56.030
-0.171,0.039,0.167,41.870,109.619,56.213
-0.138,0.099,0.221,47.180,94.055,56.519
-0.119,0.187,0.245,43.823,86.487,57.922
-0.112,0.242,0.154,34.546,89.539,56.030
-0.089,0.260,-0.016,22.339,94.849,50.842
-0.122,0.240,-0.180,4.395,93.933,42.175
-0.097,0.163,-0.355,-10.254,87.219,33.203
-0.074,0.124,-0.471,-5.310,73.975,30.151
-0.096,0.198,-0.509,8.545,53.772,29.297
-0.091,0.289,-0.472,20.996,31.555,25.513
-0.099,0.302,-0.381,25.024,11.414,17.029
-0.109,0.241,-0.294,22.827,-2.686,5.798
-0.148,0.204,-0.259,15.259,-9.277,0.061
-0.152,0.232,-0.246,5.798,-13.611,0.854
-0.133,0.273,-0.194,0.549,-22.339,1.221
-0.129,0.293,-0.132,-0.061,-31.006,-3.357
-0.132,0.249,-0.126,0.183,-34.912,-10.986
-0.154,0.166,-0.192,-0.854,-36.621,-18.311
-0.166,0.107,-0.298,-8.606,-39.368,-20.691
-0.128,0.137,-0.344,-13.184,-49.011,-17.151
-0.156,0.188,-0.262,-9.216,-67.017,-16.541
-0.178,0.138,-0.153,-5.493,-82.336,-23.560
-0.185,0.121,-0.012,-11.597,-94.055,-28.931
-0.176,0.142,0.083,-16.968,-102.295,-31.982
-0.168,0.111,0.186,-26.672,-108.337,-37.109
-0.199,-0.007,0.331,-40.039,-115.112,-46.448
-0.227,-0.144,0.457,-49.194,-120.117,-53.528
-0.218,-0.213,0.557,-53.955,-123.535,-51.880
-0.196,-0.224,0.664,-65.735,-127.991,-46.082
-0.183,-0.209,0.726,-81.543,-130.188,-42.480
-0.174,-0.192,0.756,-86.609,-131.653,-40.344
-0.165,-0.238,0.838,-82.947,-139.343,-42.847
-0.165,-0.362,1.064,-77.881,-155.151,-47.546
-0.225,-0.441,1.414,-78.735,-171.631,-47.607
-0.226,-0.499,1.756,-72.021,-174.133,-47.424
-0.231,-0.494,2.012,-54.504,-164.429,-47.485
-0.261,-0.524,2.215,-36.743,-151.855,-51.880
-0.329,-0.664,2.405,-19.165,-139.954,-62.683
-0.451,-0.931,2.519,-2.747,-126.099,-69.885
-0.496,-1.012,2.672,16.602,-111.450,-61.340
-0.612,-1.058,2.744,18.311,-94.299,-47.119
